clave_letra,entidad,gasto_pond,entidad_int,estado,categoria
C,32,774253200.0,32,Zacatecas,Limpieza del hogar
D,1,1063308600.0,1,Aguascalientes,Cuidado personal
D,2,3849473800.0,2,Baja California,Cuidado personal
D,3,749638500.0,3,Baja California Sur,Cuidado personal
D,4,614069800.0,4,Campeche,Cuidado personal
D,5,3036691000.0,5,Coahuila de Zaragoza,Cuidado personal
D,6,569073200.0,6,Colima,Cuidado personal
D,7,2461820400.0,7,Chiapas,Cuidado personal
D,8,2999869400.0,8,Chihuahua,Cuidado personal
D,9,8065109500.0,9,Ciudad de México,Cuidado personal
D,10,1203712600.0,10,Durango,Cuidado personal
D,11,3893988600.0,11,Guanajuato,Cuidado personal
D,12,1704740600.0,12,Guerrero,Cuidado personal
D,13,1639785200.0,13,Hidalgo,Cuidado personal
D,14,6207513600.0,14,Jalisco,Cuidado personal
D,15,10030052000.0,15,México,Cuidado personal
D,16,3073265000.0,16,Michoacán de Ocampo,Cuidado personal
D,17,1157629000.0,17,Morelos,Cuidado personal
D,18,854200960.0,18,Nayarit,Cuidado personal
D,19,4719629300.0,19,Nuevo León,Cuidado personal
D,20,1759522400.0,20,Oaxaca,Cuidado personal
D,21,3495990000.0,21,Puebla,Cuidado personal
D,22,1952106600.0,22,Querétaro,Cuidado personal
D,23,1474727800.0,23,Quintana Roo,Cuidado personal
D,24,1925761500.0,24,San Luis Potosí,Cuidado personal
D,25,2382901000.0,25,Sinaloa,Cuidado personal
D,26,2315440600.0,26,Sonora,Cuidado personal
D,27,1331224300.0,27,Tabasco,Cuidado personal
D,28,2731283000.0,28,Tamaulipas,Cuidado personal
D,29,744436860.0,29,Tlaxcala,Cuidado personal
D,30,4677727000.0,30,Veracruz de Ignacio de la Llave,Cuidado personal
D,31,1356883100.0,31,Yucatán,Cuidado personal
D,32,941261600.0,32,Zacatecas,Cuidado personal
E,1,542364900.0,1,Aguascalientes,Educación
E,2,1355605800.0,2,Baja California,Educación
E,3,232019520.0,3,Baja California Sur,Educación
E,4,165141100.0,4,Campeche,Educación
E,5,1087265700.0,5,Coahuila de Zaragoza,Educación
E,6,194708700.0,6,Colima,Educación
E,7,443880830.0,7,Chiapas,Educación
E,8,1037635800.0,8,Chihuahua,Educación
