clave_letra,entidad,gasto_pond,entidad_int,estado,categoria
T,11,720161100.0,11,Guanajuato,
T,12,331561250.0,12,Guerrero,
T,13,481278050.0,13,Hidalgo,
T,14,1024011140.0,14,Jalisco,
T,15,1063448450.0,15,México,
T,16,776104500.0,16,Michoacán de Ocampo,
T,17,245516740.0,17,Morelos,
T,18,203094780.0,18,Nayarit,
T,19,570974500.0,19,Nuevo León,
T,20,324978080.0,20,Oaxaca,
T,21,615751700.0,21,Puebla,
T,22,406045820.0,22,Querétaro,
T,23,349594620.0,23,Quintana Roo,
T,24,376515780.0,24,San Luis Potosí,
T,25,524939840.0,25,Sinaloa,
T,26,640919000.0,26,Sonora,
T,27,156370140.0,27,Tabasco,
T,28,385045660.0,28,Tamaulipas,
T,29,124536180.0,29,Tlaxcala,
T,30,455553440.0,30,Veracruz de Ignacio de la Llave,
T,31,310493220.0,31,Yucatán,
T,32,207044640.0,32,Zacatecas,
